bodyPart,equipment,level,id,name,target,secondaryMuscles/0,secondaryMuscles/1,instructions/0,instructions/1,instructions/2,instructions/3,instructions/4,instructions/5,secondaryMuscles/2,instructions/6,instructions/7,secondaryMuscles/3,instructions/8,secondaryMuscles/4,instructions/9,secondaryMuscles/5,instructions/10
waist,body weight,Principiante,2333,Hondas de brazo colgando piernas rectas,abs,shoulders,back,Cuélguese de una barra de dominadas con los brazos completamente extendidos y las piernas estiradas hacia abajo.,Contraiga el centro del cuerpo y levante las piernas frente a usted hasta que queden paralelas al suelo.,Mantén la posición superior por un momento y luego baja lentamente las piernas hasta la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,,,
upper legs,body weight,Principiante,3214,"Brazos separados, toque circular de los dedos del pie (masculino)",glutes,hamstrings,quadriceps,Párese con los pies separados al ancho de los hombros y los brazos extendidos hacia los lados.,"Manteniendo las piernas rectas, inclínese hacia adelante desde la cintura y estire la mano derecha hacia los dedos de los pies.","A medida que bajas, levanta simultáneamente la pierna izquierda hacia atrás, manteniendo el equilibrio.",Regrese a la posición inicial y repita el movimiento con la mano izquierda extendida hacia los dedos del pie y la pierna derecha levantándose detrás de usted.,Continúe alternando lados durante el número deseado de repeticiones.,,calves,,,,,,,,
waist,body weight,Principiante,3204,Abdominales completos con los brazos por encima de la cabeza (hombre),abs,hip flexors,lower back,Acuéstese boca arriba con las rodillas dobladas y los pies apoyados en el suelo.,"Extiende los brazos por encima de la cabeza, manteniéndolos rectos.","Contrayendo los abdominales, levante lentamente la parte superior del cuerpo del suelo, curvándose hacia delante hasta que el torso quede erguido.","Haz una pausa por un momento en la parte superior, luego baja lentamente la parte superior del cuerpo hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
chest,leverage machine,Principiante,0009,Inmersión asistida del pecho (de rodillas),pectorals,triceps,shoulders,Ajuste la máquina a la altura deseada y asegure las rodillas sobre la almohadilla.,Sujete las manijas con las palmas hacia abajo y los brazos completamente extendidos.,Baje el cuerpo doblando los codos hasta que los brazos superiores queden paralelos al suelo.,Haz una pausa por un momento y luego empújate hacia arriba hasta la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,,
waist,assisted,Principiante,0011,elevación asistida de rodillas colgado,abs,hip flexors,,Cuélguese de una barra de dominadas con los brazos completamente extendidos y las palmas de las manos hacia afuera.,"Contraiga los músculos centrales y levante las rodillas hacia el pecho, doblando las caderas y las rodillas.","Haz una pausa por un momento en la parte superior del movimiento, apretando los abdominales.",Baje lentamente las piernas hasta la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,,
waist,assisted,Principiante,0010,Elevación asistida de rodillas colgado con lanzamiento hacia abajo,abs,hip flexors,lower back,Cuélguese de una barra de dominadas con los brazos completamente extendidos y las palmas de las manos hacia afuera.,"Contraiga el centro del cuerpo y levante las rodillas hacia el pecho, manteniendo las piernas juntas.","Una vez que tus rodillas estén al nivel del pecho, lanza explosivamente tus piernas hacia el suelo, extendiéndolas completamente.",Permita que sus piernas vuelvan a subir y repita el movimiento la cantidad de repeticiones deseada.,,,,,,,,,,,
lower legs,assisted,Principiante,1708,Estiramiento de pantorrillas asistido en posición acostado,calves,hamstrings,,Acuéstese boca arriba con las piernas extendidas.,Doble una rodilla y coloque el pie plano sobre el suelo.,"Usando las manos o una toalla, tire suavemente de los dedos de los pies hacia el cuerpo, sintiendo un estiramiento en la pantorrilla.",Mantenga el estiramiento durante 20 a 30 segundos.,Suelte el estiramiento y repita con la otra pierna.,,,,,,,,,,
upper legs,assisted,Principiante,1709,estiramiento de glúteos asistido acostado,glutes,hamstrings,,Acuéstese boca arriba con las piernas extendidas.,"Doble la rodilla derecha y coloque el tobillo derecho sobre el muslo izquierdo, justo por encima de la rodilla.",Sujete su muslo izquierdo con ambas manos y tire suavemente de él hacia el pecho.,Mantenga el estiramiento durante 20 a 30 segundos.,Suelte y repita del otro lado.,,,,,,,,,,
upper legs,assisted,Principiante,1710,Estiramiento asistido de glúteos y piriforme en posición acostado,glutes,hamstrings,,Acuéstese boca arriba con las piernas extendidas.,"Doble la rodilla derecha y coloque el tobillo derecho sobre el muslo izquierdo, justo por encima de la rodilla.",Sujete su muslo izquierdo con ambas manos y tire suavemente de él hacia el pecho.,Mantenga el estiramiento durante 20 a 30 segundos.,Libera el estiramiento y repite del otro lado.,,,,,,,,,,
waist,assisted,Principiante,0012,Elevación asistida de piernas acostado con lanzamiento lateral,abs,hip flexors,obliques,Acuéstese boca arriba con las piernas extendidas y los brazos a los costados.,Coloque las manos debajo de los glúteos para apoyarse.,"Contrae los abdominales y levanta las piernas del suelo, manteniéndolas rectas.","Manteniendo las piernas juntas, bájelas hacia un lado hasta que queden unos centímetros por encima del suelo.",Haz una pausa por un momento y luego levanta las piernas hasta la posición inicial.,Repita el movimiento hacia el otro lado.,,Continúe alternando lados durante el número deseado de repeticiones.,,,,,,,
waist,assisted,Principiante,0013,Elevación de piernas asistido acostado con lanzamiento hacia abajo,abs,hip flexors,quadriceps,Acuéstese boca arriba con las piernas extendidas y los brazos a los costados.,Coloque las manos debajo de los glúteos para apoyarse.,"Contraiga el centro del cuerpo y levante las piernas del suelo, manteniéndolas rectas.",Levanta las piernas hasta que queden perpendiculares al suelo.,Baje las piernas nuevamente a la posición inicial.,"Simultáneamente, lanza las piernas hacia el suelo, manteniéndolas rectas.",,Levanta las piernas nuevamente a la posición inicial.,Repita el número de repeticiones deseado.,,,,,,
waist,medicine ball,Principiante,0014,Giro ruso con movimiento asistido,abs,obliques,lower back,Siéntese en el suelo con las rodillas dobladas y los pies apoyados en el suelo.,Sostenga el balón medicinal con ambas manos frente al pecho.,"Inclínese ligeramente hacia atrás, contrayendo los abdominales y manteniendo la espalda recta.","Gira lentamente el torso hacia la derecha, llevando el balón medicinal hacia el lado derecho del cuerpo.","Haz una pausa por un momento, luego gira el torso hacia la izquierda, llevando el balón medicinal hacia el lado izquierdo de tu cuerpo.",Continúe alternando lados durante el número deseado de repeticiones.,,,,,,,,,
back,leverage machine,Principiante,0015,dominadas paralelas asistidas con agarre cerrado,lats,biceps,forearms,Ajuste la máquina a su peso y altura deseados.,"Coloque las manos sobre las barras paralelas con un agarre firme, con las palmas una frente a la otra.",Cuélguese de las barras con los brazos completamente extendidos y los pies fuera del suelo.,"Contraiga los músculos de la espalda y tire del cuerpo hacia las barras, manteniendo los codos cerca del cuerpo.",Continúa tirando hasta que tu barbilla esté por encima de las barras.,"Haz una pausa por un momento en la parte superior, luego baja lentamente el cuerpo hasta la posición inicial.",,Repita el número de repeticiones deseado.,,,,,,,
upper legs,assisted,Principiante,0016,isquiotibiales en decúbito prono asistido,hamstrings,glutes,lower back,Acuéstese boca abajo sobre una colchoneta o un banco con las piernas completamente extendidas.,Tenga un compañero o use una banda de resistencia para asegurar sus tobillos.,"Contrae los isquiotibiales y levanta las piernas hacia los glúteos, manteniendo las rodillas rectas.","Haz una pausa por un momento en la parte superior, luego baja lentamente las piernas hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
upper legs,assisted,Principiante,1713,Estiramiento asistido de cuádriceps en decúbito prono,quads,hamstrings,glutes,Acuéstese boca abajo en el suelo con las piernas extendidas.,Doble la rodilla izquierda y estire la mano izquierda hacia atrás para agarrar el pie o el tobillo izquierdo.,Tire suavemente el pie izquierdo hacia los glúteos y sienta un estiramiento en el cuádriceps izquierdo.,Mantenga el estiramiento durante 20 a 30 segundos y luego suéltelo.,Repita con la pierna derecha.,,,,,,,,,,
waist,assisted,Principiante,1714,estiramiento asistido del recto femoral en decúbito prono,abs,quadriceps,,Acuéstese boca abajo en el suelo con las piernas estiradas.,Doble la rodilla derecha y estire la mano derecha hacia atrás para agarrar el pie o el tobillo derecho.,"Tire suavemente el pie o tobillo derecho hacia los glúteos, sintiendo un estiramiento en la parte delantera del muslo derecho.",Mantenga el estiramiento durante 20 a 30 segundos.,Suelte y repita del otro lado.,,,,,,,,,,
back,leverage machine,Principiante,0017,dominadas asistidas,lats,biceps,forearms,Ajuste la máquina a los parámetros de peso y altura deseados.,"Sujete las manijas con un agarre por encima de la mano, con una separación ligeramente mayor que el ancho de los hombros.",Cuélguese con los brazos completamente extendidos y los pies separados del suelo.,"Contraiga los músculos de la espalda y tire del cuerpo hacia las manijas, manteniendo los codos cerca del cuerpo.",Continúe tirando hasta que su barbilla esté por encima de las manijas.,"Haz una pausa por un momento en la parte superior, luego baja lentamente el cuerpo hasta la posición inicial.",,Repita el número de repeticiones deseado.,,,,,,,
chest,assisted,Principiante,1716,Estiramiento asistido del pectoral mayor sentado con balón de estabilidad,pectorals,shoulders,triceps,Siéntese sobre una pelota de estabilidad con los pies apoyados en el suelo y la espalda recta.,Sostenga una pelota de estabilidad con ambas manos y extienda los brazos hacia adelante.,"Baje lentamente la pelota de estabilidad hacia el pecho, sintiendo un estiramiento en los músculos pectorales.",Mantenga el estiramiento durante unos segundos y luego regrese lentamente a la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,,
upper legs,assisted,Principiante,1712,estiramiento asistido del aductor en decúbito lateral,adductors,hamstrings,glutes,Acuéstese de lado con las piernas estiradas y apiladas una sobre otra.,Doble ligeramente la pierna inferior para lograr estabilidad.,"Coloque el pie superior sobre una superficie estable, como un banco o un escalón.","Manteniendo la pierna superior recta, bájela lentamente hacia el suelo, sintiendo un estiramiento en la parte interna del muslo.",Mantenga el estiramiento durante 20 a 30 segundos.,Regrese a la posición inicial y repita del otro lado.,,,,,,,,,
waist,assisted,Principiante,1758,abdominales asistidos,abs,hip flexors,,Siéntese en el borde de un banco o pida a alguien que le sujete los pies.,Acuéstese boca arriba con las rodillas dobladas y los pies apoyados en el suelo.,Coloque las manos detrás de la cabeza con los codos apuntando hacia afuera.,"Contrayendo los abdominales, levante lentamente la parte superior del cuerpo del suelo, curvándose hacia delante hasta que el torso forme un ángulo de 45 grados.","Haz una pausa por un momento en la parte superior, luego baja lentamente la parte superior del cuerpo hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,
back,leverage machine,Principiante,1431,dominadas asistidas de pie,lats,biceps,forearms,Ajuste la máquina al nivel de asistencia deseado.,"Párese sobre la plataforma para los pies y agarre las manijas con un agarre por encima de la mano, con una separación ligeramente mayor que el ancho de los hombros.","Mantenga el pecho erguido y los hombros hacia atrás, contraiga el centro del cuerpo y doble ligeramente las rodillas.",Levante el cuerpo flexionando los codos y llevándolos hacia los costados.,Continúa tirando hasta que tu barbilla esté por encima de la barra.,"Haz una pausa por un momento en la parte superior, luego baja lentamente el cuerpo hasta la posición inicial.",,Repita el número de repeticiones deseado.,,,,,,,
back,leverage machine,Principiante,1432,dominadas asistidas de pie,lats,biceps,forearms,Ajuste la máquina a los parámetros de peso y altura deseados.,Párese frente a la máquina con los pies separados al ancho de los hombros.,"Sujete las manijas con un agarre por encima de la mano, con una separación ligeramente mayor que el ancho de los hombros.",Contrae los dorsales y los bíceps y tírate hacia arriba en dirección a las manijas.,"Haz una pausa por un momento en la parte superior, apretando los músculos de la espalda.",Baje lentamente hasta la posición inicial.,,Repita el número de repeticiones deseado.,,,,,,,
upper arms,assisted,Principiante,0018,Extensión de tríceps asistida de pie (con toalla),triceps,shoulders,,Párese con los pies separados al ancho de los hombros y sostenga una toalla con ambas manos detrás de la cabeza.,Mantenga los codos cerca de las orejas y la parte superior de los brazos quietos.,"Extiende lentamente los antebrazos hacia arriba, apretando los tríceps en la parte superior.",Haga una pausa por un momento y luego baje lentamente la toalla hasta la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,,
upper arms,leverage machine,Principiante,0019,fondos de tríceps asistidos (de rodillas),triceps,chest,shoulders,Ajuste la máquina a su peso y altura deseados.,"Arrodíllese sobre la almohadilla frente a la máquina, con las manos sujetando las manijas.","Baje el cuerpo doblando los codos, manteniendo la espalda recta y cerca de la máquina.",Haz una pausa por un momento en la parte inferior y luego empújate hacia arriba hasta la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,,
chest,leverage machine,Principiante,2364,Inmersión en el pecho asistida con agarre amplio (de rodillas),pectorals,triceps,shoulders,Ajuste la máquina a la altura deseada y asegure las rodillas sobre la almohadilla.,Sujete las manijas con un agarre amplio y mantenga los codos ligeramente doblados.,Baje el cuerpo doblando los codos hasta que los brazos superiores queden paralelos al suelo.,Empújese hacia atrás hasta la posición inicial extendiendo los brazos.,Repita el número de repeticiones deseado.,,,,,,,,,,
cardio,body weight,Principiante,3220,saltos a horcajadas (macho),cardiovascular system,quadriceps,hamstrings,Párese con los pies separados al ancho de los hombros.,Dobla las rodillas y baja el cuerpo hasta quedar en posición de sentadilla.,"Salta explosivamente hacia arriba, extendiendo las piernas y los brazos.","Mientras estés en el aire, separa las piernas y lleva los brazos hacia los lados.",Aterriza suavemente con los pies separados al ancho de los hombros y doblando las rodillas para absorber el impacto.,Repita el número de repeticiones deseado.,calves,,,,,,,,
cardio,body weight,Principiante,3672,paso de ida y vuelta,cardiovascular system,quadriceps,hamstrings,Párese con los pies separados al ancho de los hombros.,"Da un paso adelante con el pie derecho, doblando la rodilla y bajando el cuerpo hasta una posición de estocada.",Empuja con el pie derecho y retrocede a la posición inicial.,"Repite el movimiento con el pie izquierdo, alternando las piernas en cada paso.","Continúe caminando hacia adelante y hacia atrás, manteniendo un ritmo constante.",Repita durante la duración o el número de repeticiones deseado.,glutes,,,calves,,,,,
back,stability ball,Principiante,1314,extensión de espalda con pelota de ejercicio,spine,glutes,hamstrings,"Coloque la pelota de estabilidad en el suelo y acuéstese boca abajo sobre ella, con las caderas apoyadas sobre la pelota y los pies apoyados contra una pared u otra superficie estable.",Coloca las manos detrás de la cabeza o cruzadas sobre el pecho.,"Contraiga el centro del cuerpo y levante lentamente la parte superior del cuerpo de la pelota, extendiendo la espalda hasta que el cuerpo forme una línea recta desde la cabeza hasta los talones.","Haz una pausa por un momento en la parte superior, luego baja lentamente la parte superior del cuerpo hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
back,body weight,Principiante,3297,palanca trasera,upper back,biceps,forearms,Comience colgándose de una barra de dominadas con un agarre por encima de la mano y con las manos ligeramente más separadas que el ancho de los hombros.,Contraiga el centro del cuerpo y lleve los omóplatos hacia abajo y hacia atrás.,Dobla las rodillas y llévalas hacia el pecho.,"Levante lentamente las piernas, manteniéndolas rectas, hasta que su cuerpo quede paralelo al suelo.",Mantén esta posición durante unos segundos y luego baja lentamente las piernas hasta la posición inicial.,Repita el número de repeticiones deseado.,core,,,,,,,,
back,body weight,Principiante,1405,estiramiento de pectorales de espalda,lats,shoulders,chest,Ponte de pie con los pies separados al ancho de los hombros.,"Extiende los brazos hacia delante, paralelos al suelo.","Cruza los brazos frente a tu cuerpo, con tu brazo derecho sobre tu brazo izquierdo.",Entrelaza los dedos y gira las palmas alejándolas del cuerpo.,"Levante lentamente los brazos hacia arriba y lejos del cuerpo, sintiendo un estiramiento en la espalda y el pecho.",Mantenga el estiramiento durante 15 a 30 segundos y luego suéltelo.,,Repita en el lado opuesto.,,,,,,,
upper legs,body weight,Principiante,1473,salto hacia atrás,quads,hamstrings,glutes,Párese con los pies separados al ancho de los hombros.,"Dobla ligeramente las rodillas y salta hacia atrás, impulsándote con ambos pies.","Aterriza suavemente sobre las puntas de los pies, doblando las rodillas para absorber el impacto.",Repita el número de repeticiones deseado.,,,calves,,,,,,,,
upper legs,body weight,Principiante,0020,tabla de equilibrio,quads,calves,hamstrings,Coloque la tabla de equilibrio sobre una superficie plana.,"Súbase a la tabla de equilibrio con un pie, asegurándose de que esté centrado.","Transfiera lentamente su peso al pie que está sobre la tabla de equilibrio, manteniendo el centro del cuerpo contraído.",Mantenga el equilibrio y la estabilidad mientras mantiene la posición durante el tiempo deseado.,Repita el ejercicio con el otro pie.,,glutes,,,,,,,,
upper arms,band,Principiante,0968,curl de bíceps alterno con banda,biceps,forearms,,"Párese con los pies separados al ancho de los hombros y sostenga la banda con un agarre supino, con las palmas hacia arriba.","Mantenga los codos cerca de los costados y levante lentamente un brazo hacia el hombro, apretando el bíceps en la parte superior.",Baje el brazo a la posición inicial y repita con el otro brazo.,Continúe alternando los brazos durante el número deseado de repeticiones.,,,,,,,,,,,
waist,band,Principiante,0969,banda alternando v-up,abs,hip flexors,,"Acuéstese boca arriba con las piernas estiradas y los brazos extendidos hacia arriba, sosteniendo la banda.","Contrae los abdominales y levanta las piernas y la parte superior del cuerpo del suelo simultáneamente, llevando las manos hacia los dedos de los pies.","A medida que bajas las piernas y la parte superior del cuerpo, cambia la posición de las piernas, cruzando una sobre la otra.","Repite el movimiento, alternando la posición de las piernas con cada repetición.",Continúe durante el número deseado de repeticiones.,,,,,,,,,,
back,band,Principiante,0970,dominadas asistidas con banda,lats,biceps,forearms,Fije la banda a una barra de dominadas o a un punto de anclaje resistente.,Súbete a la banda y sujeta la barra con las palmas hacia afuera y las manos ligeramente más separadas que el ancho de los hombros.,"Cuélguese con los brazos completamente extendidos, manteniendo el centro del cuerpo contraído y los hombros hacia abajo y hacia atrás.",Levante el cuerpo hacia la barra apretando los omóplatos y llevando los codos hacia las caderas.,"Continúa tirando hasta que tu barbilla esté por encima de la barra, luego baja lentamente hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,
waist,band,Principiante,0971,despliegue de rueda asistido por banda,abs,lower back,,"Arrodíllate en el suelo y sujeta las asas de la banda con ambas manos, con las palmas hacia abajo.",Coloca la banda en el suelo frente a ti y coloca las manos separadas al ancho de los hombros.,"Contraiga el centro del cuerpo y gire lentamente la rueda hacia adelante, extendiendo el cuerpo lo más que pueda mientras mantiene el control.","Haz una pausa por un momento en el punto más alejado, luego gira lentamente la rueda hacia tus rodillas para regresar a la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
chest,band,Intermedio,1254,press de banca con banda,pectorals,triceps,shoulders,Acuéstese en un banco con los pies apoyados en el suelo y la espalda presionada contra el banco.,"Sujete las manijas de la banda con un agarre por encima de la mano, con una separación ligeramente mayor que el ancho de los hombros.","Extiende los brazos completamente, alejando las bandas del pecho.","Baje lentamente las bandas hasta el pecho, manteniendo los codos en un ángulo de 90 grados.",Repita el número de repeticiones deseado.,,,,,,,,,,
upper legs,band,Principiante,0980,extensión de cadera con banda inclinada,glutes,hamstrings,lower back,Fije la banda a un punto de anclaje resistente a la altura del tobillo.,Párese de espaldas al punto de anclaje con los pies separados al ancho de los hombros.,"Da un paso atrás para crear tensión en la banda, manteniendo las rodillas ligeramente dobladas.","Bisagra las caderas e inclínese hacia adelante, manteniendo la columna neutra.","Extiende la pierna derecha hacia atrás, apretando los glúteos en la parte superior.",Baje la pierna derecha y repita el ejercicio con la pierna izquierda.,,Continúe alternando las piernas durante el número deseado de repeticiones.,,,,,,,
waist,band,Principiante,0972,abdominales de bicicleta con banda,abs,hip flexors,obliques,Acuéstese boca arriba con las manos detrás de la cabeza y las rodillas dobladas.,Levanta los pies del suelo y lleva la rodilla derecha hacia el pecho mientras giras simultáneamente el torso para llevar el codo izquierdo hacia la rodilla derecha.,Estire la pierna derecha mientras lleva la rodilla izquierda hacia el pecho y gira el torso para llevar el codo derecho hacia la rodilla izquierda.,"Continúe alternando el movimiento de torsión, como si estuviera pedaleando una bicicleta, mientras mantiene el centro del cuerpo contraído durante todo el movimiento.",Repita el número de repeticiones deseado.,,,,,,,,,,
back,band,Principiante,0974,dominada con agarre cerrado y banda,lats,biceps,forearms,"Fije la banda a un punto de anclaje alto, como una barra de dominadas o una viga resistente.","Párese frente al punto de anclaje y agarre la banda con un agarre por debajo de la mano, con las manos separadas al ancho de los hombros.","Da un paso atrás para crear tensión en la banda, manteniendo los pies separados al ancho de las caderas.","Contraiga el centro del cuerpo y mantenga la espalda recta mientras tira de la banda hacia el pecho, apretando los omóplatos.","Haga una pausa por un momento en la parte inferior del movimiento, luego suelte lentamente la banda hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,
upper arms,band,Principiante,0975,flexiones con agarre cerrado y banda elástica,triceps,chest,shoulders,"Coloque una banda alrededor de la parte superior de los brazos, justo por encima de los codos.",Adopte una posición de flexión con las manos directamente debajo de los hombros y el cuerpo en línea recta desde la cabeza hasta los talones.,"Dobla los codos y baja el pecho hacia el suelo, manteniendo los codos cerca de los costados.",Empuja con las palmas de las manos para extender los brazos y regresar a la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,,
upper arms,band,Principiante,0976,curl de concentración con banda,biceps,forearms,,Siéntese en un banco o silla con las piernas separadas y los pies apoyados en el suelo.,Sostenga un extremo de la banda en su mano y pise el otro extremo con el pie del mismo lado.,"Inclínese ligeramente hacia adelante y apoye el codo en la parte interior del muslo, justo por encima de la rodilla.","Con la palma hacia arriba, doble lentamente la mano hacia el hombro, manteniendo la parte superior del brazo estacionaria.","Haz una pausa por un momento en la parte superior, luego baja lentamente la mano hasta la posición inicial.",Repita el ejercicio la cantidad de repeticiones deseada y luego cambie de lado.,,,,,,,,,
back,band,Principiante,3117,Banda fija hacia atrás con agarre cerrado en dominadas,lats,biceps,forearms,"Fije la banda a un punto fijo por encima de usted, como una barra de dominadas o una viga resistente.","Siéntese en un banco o silla frente a la banda, con los pies apoyados en el suelo y las rodillas dobladas.","Sujete la banda con fuerza, con las palmas hacia usted.",Mantenga la espalda recta y contraiga el centro del cuerpo.,"Tire la banda hacia el pecho, apretando los omóplatos.","Haz una pausa por un momento en la parte inferior del movimiento, sintiendo la contracción en tus dorsales.",,"Suelte lentamente la banda hasta la posición inicial, manteniendo el control durante todo el movimiento.",Repita el número de repeticiones deseado.,,,,,,
back,band,Principiante,3116,Banda fija hacia atrás con dominadas,lats,biceps,rhomboids,Fije la banda a un punto de anclaje resistente por encima de su cabeza.,Párese frente al punto de anclaje con los pies separados al ancho de los hombros.,"Sujete la banda con un agarre por debajo de la mano, con las manos ligeramente más separadas que el ancho de los hombros.","Da un paso atrás para crear tensión en la banda, manteniendo los brazos completamente extendidos.",Contraiga el centro del cuerpo y apriete los omóplatos.,"Tire la banda hacia abajo en dirección al pecho, guiándola con los codos.",rear deltoids,"Haz una pausa por un momento en la parte inferior del movimiento, sintiendo la contracción en tus dorsales.",Libere lentamente la tensión de la banda y vuelva a la posición inicial.,,Repita el número de repeticiones deseado.,,,,
shoulders,band,Principiante,0977,elevación lateral frontal con banda,delts,traps,upper back,Párese con los pies separados al ancho de los hombros y sostenga la banda frente a los muslos con las palmas hacia abajo.,Mantenga los brazos rectos y levante la banda frente a usted hasta que sus brazos queden paralelos al suelo.,"Haz una pausa por un momento en la parte superior, luego baja lentamente la banda hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,,
